winemaker,latitude,longitude
Podernuovo a Palazzone,42.894672,11.931539
Gaja,44.557007,7.711347
Le Macchiole,43.25903,10.594953
Tenuta San Guido,43.23391,10.616
Elio Altare,44.638454,7.955805
Canalicchio di Sopra,43.035686,11.47
Podere Forte,43.008297,11.595079
Castellare,43.73126,10.781426
Argiano,42.991837,11.4231
Antonio Caggiano,45.74051,12.088783
Isole e Olena,45.952923,12.376109
Castello dei Rampolla,43.540524,11.292797
Speri,45.505013,10.920969
Tommasi,45.50491,10.916976
Quintarelli Giuseppe,45.51996,10.947095
Tenuta di Valgiano,43.906483,10.591147
Antinori,43.612602,11.191609
Ca' del Bosco,45.591244,9.989009
Col d'Orcia,42.96716,11.437819
Castello del Terriccio,43.412975,10.572179
Le Chiuse,43.25745,10.693007
Vie di Romans,45.90834,13.453796
Biserno,43.269787,10.597826
G.D. Vajra,44.611744,7.919536
Tenuta di Trinoro,42.92515,11.796578
Ornellaia,43.212067,10.613753
Cà dei Frati,45.45483,10.616581
Duca di Salaparuta,38.01058,13.543288
Elena Walch,46.338905,11.238573
San Giusto a Rentennano,43.433884,11.45228
Sandrone,44.621567,7.965936
Capannelle,43.423473,11.48825
Piero Busso,44.73615,8.099348
Rocca di Frassinello,42.907288,10.99165
Vietti,44.623917,7.979
Tenuta Sette Ponti,43.542458,11.74669
Cavallotto,44.627556,7.976528
Tenuta Sant'Antonio,45.45245,11.120593
Brovia,44.63191,7.965412
Bertani,45.518093,11.022496
Tenuta Campo al Mare,43.766335,11.255465
Talenti,46.054134,11.747432
Giacomo Fenocchio,44.584343,7.96685
Riecine,43.966625,10.849747
Tenuta CastelGiocondo,43.03925,11.407441
Maculan,45.708714,11.558921
Il Marroneto,41.017776,17.009956
Borgogno,44.610157,7.942971
Cantine Leonardo da Vinci,43.752033,10.908313
Castiglion del Bosco,43.084957,11.421882
Mauro Molino,44.635944,7.959777
Elio Grasso,44.596172,7.982597
Castello Romitorio,42.01675,12.648505
Giuseppe Rinaldi,44.39793,7.5665
Mazzei,43.43548,11.303548
De Stefani,45.644844,12.487137
Roagna,44.699535,8.044001
Ruffino,43.770927,11.345243
Albino Armani,45.610584,10.856351
La Cappuccina,45.450245,11.301528
Colli Della Murgia,40.773327,16.36993
Michele Chiarlo,44.73813,8.339852
Loredan Gasparini,45.781086,12.106421
Paolo Scavino,44.640526,7.972615
Produttori Vini Manduria,40.405464,17.636694
Querciabella,43.570656,11.335417
Conterno Fantino,44.38825,7.54836
Roberto Voerzio,39.5078,16.115
Marchesi Alfieri,44.818497,8.108986
Velenosi,42.85332,13.626477
Ceretto,44.675304,7.993334
Fratelli Revello,44.6367,7.956204
Castello di Ama,43.441765,11.389819
Poggio Antico,43.01737,11.474284
Bruno Giacosa,44.720646,8.11538
Prunotto,44.68551,8.009502
Abbazia di Novacella (Stiftskellerei Neustift),46.741283,11.649688
Di Majo Norante,41.957054,15.034704
Pasqua Vigneti e Cantine,45.458282,11.028335
Gulfi,42.719883,11.189456
Tua Rita,43.064133,10.68916
Virna,44.62691,7.956795
Nino Negri,46.17107,9.990381
Brunelli,45.50885,10.87188
Carlo Giacosa,44.727844,8.085783
Pio Cesare,44.701885,8.038346
Punica,39.093407,8.716156
Vignalta,45.273727,11.714223
Vigneti Reale,40.48048,17.965862
Ricasoli,43.415768,11.458574
Massimago,45.473198,11.141382
Marchesi di Gresy,44.725048,8.080868
